Time,X,Y,Vx,Vy,Ax,Ay
6.84,9.336204,-6.593441,3.996099,-0.1766286,-0.1556635,-4.861034
6.86,9.416125,-6.600897,3.987955,-0.3101837,-0.4071712,-6.677752
6.88,9.495884,-6.611025,3.980837,-0.3910743,-0.3559232,-4.04453
6.9,9.5755,-6.62277,3.969884,-0.4899209,-0.5476475,-4.942332
6.92,9.654898,-6.636493,3.965786,-0.5220556,-0.204885,-1.606736
6.94,9.734214,-6.650858,3.958227,-0.5765775,-0.377965,-2.726093
6.96,9.813378,-6.666314,3.950799,-0.6254524,-0.3714085,-2.443746
6.98,9.892394,-6.682747,3.943182,-0.6718021,-0.3808379,-2.317485
7,9.971258,-6.700107,3.93157,-0.7367206,-0.5805731,-3.245926
7.02,10.04989,-6.718766,3.918647,-0.8026232,-0.646162,-3.295127
7.04,10.12826,-6.738742,3.90967,-0.8452697,-0.4488587,-2.132326
7.06,10.20646,-6.759572,3.906203,-0.8611497,-0.1733422,-0.7940024
7.08,10.28458,-6.780718,3.901767,-0.8810319,-0.2218127,-0.9941101
7.1,10.36262,-6.802263,3.902075,-0.879663,0.01542568,0.06844699
7.12,10.44066,-6.82378,3.902358,-0.8784093,0.0141263,0.06268322
7.14,10.5187,-6.845272,3.902615,-0.877265,0.01286268,0.05721748
7.16,10.59676,-6.866741,3.902851,-0.876218,0.01177788,0.05235076
7.18,10.67481,-6.888189,3.904111,-0.8705838,0.06302595,0.2817094
7.2,10.7529,-6.909525,3.938494,-0.698759,1.719141,8.591241
7.22,10.83167,-6.927424,3.965888,-0.521283,1.369679,8.873796
7.24,10.91098,-6.941773,3.991075,-0.2670626,1.259363,12.71102
7.26,10.9908,-6.951039,3.998804,-0.09782258,0.3864408,8.462002
7.28,11.07078,-6.956919,3.999952,-0.01963445,0.05739927,3.909407
7.3,11.15078,-6.961236,3.997128,0.1515519,-0.1411915,8.559318
7.32,11.23072,-6.962129,3.990372,0.2773682,-0.3378034,6.290813
7.34,11.31053,-6.960506,3.986789,0.3248328,-0.1791477,2.373232
7.36,11.39027,-6.957933,3.979001,0.4093262,-0.3893733,4.224669
7.38,11.46985,-6.953671,3.971646,0.4754237,-0.3677487,3.304875
7.4,11.54928,-6.948087,3.963264,0.5408636,-0.4190922,3.271999
7.42,11.62854,-6.941194,3.956665,0.5872006,-0.3299952,2.31685
7.44,11.70768,-6.933373,3.943455,0.6701982,-0.6605029,4.149878
7.46,11.78655,-6.923893,3.938794,0.6970675,-0.2330303,1.343465
7.48,11.86532,-6.913876,3.9198,0.7969741,-0.9496808,4.995328
7.5,11.94372,-6.901861,3.902828,0.8763186,-0.8486271,3.967226
